"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-04","33","41","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-05","49","69","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-06","47","59","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-07","34","36","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-08","32","39","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-09","34","41","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-10","28","31","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-11","24","31","16"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-12","17","23","11"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-13","31","51","21"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-14","48","63","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-15","43","54","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-16","49","70","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-17","58","73","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-18","45","47","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-19","40","43","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-20","45","63","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-21","56","74","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-22","54","56","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-23","52","58","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-24","45","46","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-25","41","47","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-26","33","35","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-27","29","36","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-28","29","35","22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-29","33","44","29"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-30","50","60","44"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-03-31","44","48","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-01","37","46","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-02","36","42","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-03","40","50","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-04","44","52","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-05","45","53","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-06","51","56","43"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-07","43","44","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-08","39","41","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-09","39","54","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-04-10","45","64","32"
